account_number,customer_ref,account_type,currency,opened_on,risk_rating,status
MT5000017643,C00219,SAVINGS,INR,2022-10-10,MEDIUM,ACTIVE
MT5000017699,C00219,CURRENT,INR,2021-06-21,MEDIUM,ACTIVE
MT5000017768,C00220,SAVINGS,INR,2025-01-08,LOW,ACTIVE
MT5000017842,C00221,SAVINGS,INR,2023-12-20,MEDIUM,ACTIVE
MT5000017854,C00222,SAVINGS,INR,2022-03-14,MEDIUM,ACTIVE
MT5000017867,C00222,WALLET,INR,2024-05-02,MEDIUM,ACTIVE
MT5000017935,C00223,SAVINGS,INR,2023-07-23,LOW,ACTIVE
MT5000017980,C00223,CURRENT,INR,2024-07-12,LOW,ACTIVE
MT5000018065,C00224,SAVINGS,INR,2023-03-13,LOW,ACTIVE
MT5000018098,C00225,SAVINGS,INR,2022-09-20,HIGH,ACTIVE
MT5000018184,C00225,WALLET,INR,2025-03-18,MEDIUM,ACTIVE
MT5000018251,C00226,SAVINGS,INR,2021-05-21,LOW,ACTIVE
MT5000018315,C00226,CURRENT,INR,2021-08-08,LOW,ACTIVE
MT5000018397,C00227,SAVINGS,INR,2023-03-27,MEDIUM,ACTIVE
MT5000018453,C00227,WALLET,INR,2022-02-23,LOW,ACTIVE
MT5000018500,C00228,SAVINGS,INR,2023-08-18,LOW,ACTIVE
MT5000018520,C00228,WALLET,INR,2022-05-19,LOW,ACTIVE
MT5000018573,C00229,SAVINGS,INR,2024-06-08,MEDIUM,ACTIVE
MT5000018582,C00229,WALLET,INR,2025-01-30,MEDIUM,ACTIVE
MT5000018619,C00230,SAVINGS,INR,2022-08-07,LOW,ACTIVE
MT5000018650,C00231,SAVINGS,INR,2023-12-12,LOW,ACTIVE
MT5000018670,C00231,CURRENT,USD,2021-10-02,MEDIUM,ACTIVE
MT5000018742,C00232,SAVINGS,INR,2023-10-11,LOW,ACTIVE
MT5000018747,C00232,CURRENT,USD,2025-06-16,LOW,ACTIVE
MT5000018783,C00233,SAVINGS,INR,2022-07-13,LOW,ACTIVE
MT5000018866,C00233,CURRENT,INR,2023-07-01,LOW,ACTIVE
MT5000018877,C00234,BUSINESS,INR,2024-06-18,LOW,ACTIVE
MT5000018930,C00235,SAVINGS,INR,2021-03-12,LOW,ACTIVE
MT5000019015,C00235,CURRENT,INR,2021-07-07,LOW,ACTIVE
MT5000019030,C00236,SAVINGS,INR,2023-01-08,LOW,ACTIVE
MT5000019097,C00237,BUSINESS,INR,2022-07-01,MEDIUM,ACTIVE
MT5000019165,C00237,CURRENT,INR,2021-04-06,LOW,ACTIVE
MT5000019206,C00238,SAVINGS,INR,2024-05-17,MEDIUM,ACTIVE
MT5000019301,C00238,NRE,INR,2021-09-14,LOW,ACTIVE
MT5000019356,C00239,SAVINGS,INR,2024-12-31,LOW,ACTIVE
MT5000019392,C00240,SAVINGS,INR,2023-10-04,LOW,ACTIVE
MT5000019400,C00241,SAVINGS,INR,2023-06-22,LOW,ACTIVE
MT5000019490,C00241,CURRENT,INR,2023-11-06,LOW,ACTIVE
MT5000019526,C00242,SAVINGS,INR,2021-04-16,LOW,ACTIVE
MT5000019587,C00243,SAVINGS,INR,2022-03-18,LOW,ACTIVE
MT5000019670,C00244,SAVINGS,INR,2021-02-23,LOW,ACTIVE
MT5000019755,C00245,SAVINGS,INR,2021-09-28,MEDIUM,ACTIVE
MT5000019844,C00245,WALLET,INR,2024-11-17,LOW,ACTIVE
MT5000019926,C00246,SAVINGS,INR,2022-04-18,LOW,ACTIVE
MT5000019942,C00247,SAVINGS,INR,2023-03-23,MEDIUM,ACTIVE
MT5000019999,C00247,NRE,INR,2026-03-06,MEDIUM,ACTIVE
MT5000020032,C00248,SAVINGS,INR,2024-07-14,LOW,ACTIVE
MT5000020063,C00249,SAVINGS,INR,2024-07-21,LOW,ACTIVE
MT5000020084,C00249,NRE,INR,2022-09-06,LOW,ACTIVE
MT5000020167,C00250,SAVINGS,INR,2023-12-11,LOW,ACTIVE
MT5000020203,C00250,CURRENT,INR,2020-12-12,LOW,ACTIVE
MT5000020246,C00251,SAVINGS,INR,2022-03-14,LOW,ACTIVE
MT5000020259,C00251,CURRENT,INR,2023-05-21,LOW,ACTIVE
MT5000020353,C00252,BUSINESS,INR,2021-08-30,LOW,ACTIVE
MT5000020395,C00252,CURRENT,INR,2026-01-25,LOW,ACTIVE
MT5000020419,C00253,SAVINGS,INR,2022-09-09,MEDIUM,ACTIVE
MT5000020502,C00253,CURRENT,USD,2025-02-06,MEDIUM,ACTIVE
MT5000020513,C00254,SAVINGS,INR,2025-08-08,LOW,ACTIVE
MT5000020597,C00255,BUSINESS,INR,2021-12-11,LOW,ACTIVE
MT5000020674,C00255,CURRENT,INR,2021-10-11,MEDIUM,ACTIVE
MT5000020769,C00256,BUSINESS,INR,2025-06-22,LOW,ACTIVE
MT5000020857,C00256,CURRENT,INR,2024-05-21,LOW,ACTIVE
MT5000020911,C00257,BUSINESS,INR,2024-02-29,LOW,ACTIVE
MT5000020985,C00258,SAVINGS,INR,2024-12-18,LOW,ACTIVE
MT5000020988,C00258,WALLET,INR,2022-08-05,LOW,ACTIVE
MT5000021000,C00259,BUSINESS,INR,2023-08-18,LOW,ACTIVE
MT5000021022,C00260,SAVINGS,INR,2025-12-11,MEDIUM,ACTIVE
MT5000021077,C00260,WALLET,INR,2024-10-06,MEDIUM,ACTIVE
MT5000021099,C00261,BUSINESS,INR,2020-11-29,LOW,ACTIVE
MT5000021101,C00261,CURRENT,INR,2023-10-13,LOW,ACTIVE
MT5000021188,C00262,SAVINGS,INR,2023-06-14,LOW,ACTIVE
MT5000021280,C00262,CURRENT,USD,2021-05-22,MEDIUM,ACTIVE
MT5000021376,C00263,SAVINGS,INR,2023-06-14,LOW,ACTIVE
MT5000021403,C00264,SAVINGS,INR,2022-11-10,LOW,ACTIVE
MT5000021440,C00264,WALLET,INR,2022-06-05,LOW,ACTIVE
MT5000021459,C00265,SAVINGS,INR,2026-01-23,LOW,ACTIVE
MT5000021539,C00266,SAVINGS,INR,2023-09-11,MEDIUM,ACTIVE
MT5000021627,C00267,BUSINESS,INR,2022-08-05,LOW,ACTIVE
MT5000021645,C00268,SAVINGS,INR,2021-05-03,LOW,ACTIVE
MT5000021733,C00269,SAVINGS,INR,2025-01-12,LOW,ACTIVE
MT5000021824,C00269,NRE,INR,2022-02-04,LOW,ACTIVE
MT5000021896,C00270,SAVINGS,INR,2025-11-22,LOW,ACTIVE
MT5000021957,C00271,SAVINGS,INR,2021-02-16,LOW,ACTIVE
MT5000022035,C00271,WALLET,INR,2021-09-21,LOW,ACTIVE
MT5000022041,C00272,SAVINGS,INR,2026-03-12,LOW,ACTIVE
MT5000022121,C00272,NRE,INR,2024-07-11,MEDIUM,ACTIVE
MT5000022138,C00273,SAVINGS,INR,2021-03-21,MEDIUM,ACTIVE
MT5000022213,C00273,CURRENT,INR,2023-05-26,MEDIUM,ACTIVE
MT5000022273,C00274,SAVINGS,INR,2025-06-25,LOW,ACTIVE
MT5000022329,C00275,SAVINGS,INR,2025-06-05,LOW,ACTIVE
MT5000022370,C00275,CURRENT,INR,2023-06-04,MEDIUM,ACTIVE
MT5000022466,C00276,SAVINGS,INR,2024-03-14,MEDIUM,ACTIVE
MT5000022503,C00276,NRE,INR,2022-10-14,MEDIUM,ACTIVE
MT5000022570,C00277,SAVINGS,INR,2024-06-19,LOW,ACTIVE
MT5000022592,C00277,NRE,INR,2022-02-02,MEDIUM,ACTIVE
MT5000022612,C00278,SAVINGS,INR,2023-02-08,MEDIUM,ACTIVE
MT5000022697,C00278,WALLET,INR,2021-09-30,LOW,ACTIVE
MT5000022704,C00279,SAVINGS,INR,2024-12-07,LOW,ACTIVE
MT5000022725,C00280,SAVINGS,INR,2022-04-07,HIGH,ACTIVE
MT5000022740,C00280,NRE,INR,2025-12-29,HIGH,ACTIVE
MT5000022812,C00281,SAVINGS,INR,2023-07-03,LOW,ACTIVE
MT5000022827,C00281,WALLET,INR,2021-05-12,LOW,ACTIVE
MT5000022854,C00282,SAVINGS,INR,2021-05-09,LOW,ACTIVE
MT5000022950,C00283,SAVINGS,INR,2023-05-16,MEDIUM,ACTIVE
MT5000023023,C00283,WALLET,INR,2022-12-09,MEDIUM,ACTIVE
MT5000023024,C00284,BUSINESS,INR,2023-04-10,LOW,ACTIVE
MT5000023048,C00284,CURRENT,INR,2025-10-16,LOW,ACTIVE
MT5000023061,C00285,BUSINESS,INR,2021-03-31,LOW,ACTIVE
MT5000023098,C00285,CURRENT,INR,2022-05-29,LOW,ACTIVE
MT5000023112,C00286,SAVINGS,INR,2021-07-12,LOW,ACTIVE
MT5000023171,C00287,SAVINGS,INR,2021-07-25,LOW,ACTIVE
MT5000023252,C00288,SAVINGS,INR,2024-09-17,LOW,ACTIVE
MT5000023253,C00288,NRE,INR,2025-12-23,LOW,ACTIVE
MT5000023295,C00289,SAVINGS,INR,2020-11-28,LOW,ACTIVE
MT5000023389,C00289,WALLET,INR,2025-07-01,LOW,ACTIVE
MT5000023472,C00290,SAVINGS,INR,2024-08-20,LOW,ACTIVE
MT5000023482,C00291,SAVINGS,INR,2023-02-26,MEDIUM,ACTIVE
MT5000023534,C00292,SAVINGS,INR,2024-10-16,LOW,ACTIVE
MT5000023586,C00293,SAVINGS,INR,2025-09-21,LOW,ACTIVE
MT5000023613,C00293,CURRENT,INR,2023-12-19,LOW,ACTIVE
MT5000023697,C00294,SAVINGS,INR,2025-05-11,LOW,ACTIVE
MT5000023760,C00294,NRE,INR,2022-02-04,MEDIUM,ACTIVE
MT5000023848,C00295,SAVINGS,INR,2022-11-03,LOW,ACTIVE
MT5000023896,C00296,SAVINGS,INR,2023-05-08,LOW,ACTIVE
MT5000023954,C00296,NRE,INR,2023-07-21,LOW,ACTIVE
MT5000023966,C00297,SAVINGS,INR,2021-12-24,LOW,ACTIVE
MT5000024014,C00297,WALLET,INR,2025-03-06,LOW,ACTIVE
MT5000024020,C00298,SAVINGS,INR,2023-05-06,MEDIUM,ACTIVE
MT5000024080,C00298,WALLET,INR,2024-12-18,MEDIUM,ACTIVE
MT5000024144,C00299,SAVINGS,INR,2023-04-08,MEDIUM,ACTIVE
MT5000024212,C00299,CURRENT,INR,2023-10-09,MEDIUM,ACTIVE
MT5000024251,C00300,SAVINGS,INR,2025-05-22,MEDIUM,ACTIVE
MT5000024339,C00300,NRE,INR,2021-07-03,MEDIUM,ACTIVE
MT5000024412,C00301,SAVINGS,INR,2025-12-15,LOW,ACTIVE
MT5000024418,C00301,WALLET,INR,2025-08-14,LOW,ACTIVE
MT5000024478,C00302,SAVINGS,INR,2022-07-08,MEDIUM,ACTIVE
MT5000024511,C00302,NRE,INR,2024-10-17,MEDIUM,ACTIVE
MT5000024514,C00303,SAVINGS,INR,2025-08-01,LOW,ACTIVE
MT5000024574,C00303,CURRENT,INR,2021-06-30,LOW,ACTIVE
MT5000024665,C00304,SAVINGS,INR,2024-07-21,LOW,ACTIVE
MT5000024762,C00305,SAVINGS,INR,2022-06-19,LOW,ACTIVE
MT5000024796,C00305,NRE,INR,2021-01-27,MEDIUM,ACTIVE
MT5000024820,C00306,BUSINESS,INR,2025-10-13,MEDIUM,ACTIVE
MT5000024907,C00307,SAVINGS,INR,2025-08-17,MEDIUM,ACTIVE
MT5000024910,C00307,CURRENT,INR,2026-02-23,MEDIUM,ACTIVE
MT5000024999,C00308,BUSINESS,INR,2023-12-14,MEDIUM,ACTIVE
MT5000025095,C00308,CURRENT,INR,2023-06-30,LOW,ACTIVE
MT5000025174,C00309,SAVINGS,INR,2024-03-14,LOW,ACTIVE
MT5000025263,C00309,WALLET,INR,2024-01-04,MEDIUM,ACTIVE
MT5000025281,C00310,BUSINESS,INR,2026-02-22,LOW,ACTIVE
MT5000025371,C00311,SAVINGS,INR,2025-03-02,MEDIUM,ACTIVE
MT5000025398,C00311,NRE,INR,2022-08-02,LOW,ACTIVE
MT5000025479,C00312,SAVINGS,INR,2021-05-30,MEDIUM,ACTIVE
MT5000025518,C00313,SAVINGS,INR,2021-11-27,LOW,ACTIVE
MT5000025521,C00314,SAVINGS,INR,2025-07-27,LOW,ACTIVE
MT5000025541,C00314,WALLET,INR,2022-04-14,LOW,ACTIVE
MT5000025544,C00315,SAVINGS,INR,2021-05-27,MEDIUM,ACTIVE
MT5000025576,C00315,CURRENT,INR,2021-07-28,MEDIUM,ACTIVE
MT5000025578,C00316,SAVINGS,INR,2025-08-24,LOW,ACTIVE
MT5000025632,C00317,SAVINGS,INR,2021-06-19,LOW,ACTIVE
MT5000025707,C00317,WALLET,INR,2022-02-14,LOW,ACTIVE
MT5000025770,C00318,SAVINGS,INR,2023-12-25,LOW,ACTIVE
MT5000025849,C00319,SAVINGS,INR,2020-12-23,LOW,ACTIVE
MT5000025912,C00319,CURRENT,INR,2023-04-06,LOW,ACTIVE
MT5000025983,C00320,SAVINGS,INR,2025-11-12,MEDIUM,ACTIVE
MT5000026066,C00320,NRE,INR,2021-03-28,MEDIUM,ACTIVE
MT5000026149,C00321,SAVINGS,INR,2024-04-11,LOW,ACTIVE
MT5000026205,C00321,CURRENT,USD,2022-02-24,LOW,ACTIVE
MT5000026235,C00322,SAVINGS,INR,2023-05-18,HIGH,ACTIVE
MT5000026279,C00323,SAVINGS,INR,2021-01-20,LOW,ACTIVE
MT5000026371,C00323,WALLET,INR,2023-08-06,LOW,ACTIVE
MT5000026463,C00324,BUSINESS,INR,2024-01-13,MEDIUM,ACTIVE
MT5000026550,C00325,SAVINGS,INR,2022-07-25,LOW,ACTIVE
MT5000026611,C00325,CURRENT,INR,2024-08-21,LOW,ACTIVE
MT5000026673,C00326,SAVINGS,INR,2025-07-01,MEDIUM,ACTIVE
MT5000026736,C00327,SAVINGS,INR,2025-08-28,LOW,ACTIVE
MT5000026800,C00328,SAVINGS,INR,2024-07-09,LOW,ACTIVE
MT5000026872,C00328,CURRENT,INR,2024-03-18,MEDIUM,ACTIVE
MT5000026893,C00329,SAVINGS,INR,2025-03-30,MEDIUM,ACTIVE
MT5000026898,C00330,SAVINGS,INR,2021-09-12,LOW,ACTIVE
MT5000026954,C00330,CURRENT,INR,2025-07-18,LOW,ACTIVE
MT5000026998,C00331,SAVINGS,INR,2021-10-27,MEDIUM,ACTIVE
MT5000027004,C00331,WALLET,INR,2024-09-21,MEDIUM,ACTIVE
MT5000027070,C00332,BUSINESS,INR,2022-11-01,LOW,ACTIVE
MT5000027161,C00332,CURRENT,USD,2020-12-01,LOW,ACTIVE
MT5000027258,C00333,BUSINESS,INR,2025-08-07,MEDIUM,ACTIVE
MT5000027337,C00333,CURRENT,INR,2021-05-30,MEDIUM,ACTIVE
MT5000027343,C00334,SAVINGS,INR,2023-05-19,MEDIUM,ACTIVE
MT5000027424,C00334,CURRENT,INR,2021-02-11,MEDIUM,ACTIVE
MT5000027515,C00335,BUSINESS,INR,2023-09-30,LOW,ACTIVE
MT5000027579,C00335,CURRENT,INR,2025-08-31,LOW,ACTIVE
MT5000027597,C00336,SAVINGS,INR,2025-07-14,MEDIUM,ACTIVE
MT5000027651,C00337,SAVINGS,INR,2021-11-28,LOW,ACTIVE
MT5000027683,C00337,NRE,INR,2024-04-22,LOW,ACTIVE
MT5000027718,C00338,SAVINGS,INR,2024-02-19,MEDIUM,ACTIVE
MT5000027799,C00339,BUSINESS,INR,2022-06-30,LOW,ACTIVE
MT5000027896,C00339,CURRENT,INR,2023-11-10,LOW,ACTIVE
MT5000027951,C00340,SAVINGS,INR,2023-11-27,MEDIUM,ACTIVE
MT5000028018,C00341,SAVINGS,INR,2021-10-07,MEDIUM,ACTIVE
MT5000028022,C00341,NRE,INR,2025-05-28,MEDIUM,ACTIVE
MT5000028089,C00342,BUSINESS,INR,2020-12-06,LOW,ACTIVE
MT5000028133,C00342,CURRENT,INR,2021-11-22,LOW,ACTIVE
MT5000028138,C00343,SAVINGS,INR,2022-07-09,MEDIUM,ACTIVE
MT5000028212,C00344,SAVINGS,INR,2025-11-24,MEDIUM,ACTIVE
MT5000028297,C00345,SAVINGS,INR,2021-04-24,LOW,ACTIVE
MT5000028335,C00345,NRE,INR,2023-12-20,MEDIUM,ACTIVE
MT5000028374,C00346,BUSINESS,INR,2022-03-06,MEDIUM,ACTIVE
MT5000028419,C00346,CURRENT,USD,2024-08-27,MEDIUM,ACTIVE
MT5000028438,C00347,SAVINGS,INR,2022-04-18,LOW,ACTIVE
MT5000028521,C00347,CURRENT,INR,2022-09-21,LOW,ACTIVE
MT5000028611,C00348,SAVINGS,INR,2024-04-14,MEDIUM,ACTIVE
MT5000028695,C00348,NRE,INR,2021-11-15,LOW,ACTIVE
MT5000028700,C00349,SAVINGS,INR,2023-03-18,LOW,ACTIVE
MT5000028795,C00350,SAVINGS,INR,2021-04-16,LOW,ACTIVE
MT5000028865,C00350,NRE,INR,2025-01-09,LOW,ACTIVE
MT5000028932,C00351,SAVINGS,INR,2024-04-24,LOW,ACTIVE
MT5000028953,C00351,CURRENT,USD,2021-10-03,LOW,ACTIVE
MT5000028992,C00352,SAVINGS,INR,2022-02-24,LOW,ACTIVE
MT5000029086,C00353,SAVINGS,INR,2025-11-20,MEDIUM,ACTIVE
MT5000029120,C00353,WALLET,INR,2023-05-18,LOW,ACTIVE
MT5000029204,C00354,SAVINGS,INR,2020-12-11,LOW,ACTIVE
MT5000029299,C00355,SAVINGS,INR,2026-03-12,HIGH,ACTIVE
MT5000029395,C00356,BUSINESS,INR,2022-12-17,LOW,ACTIVE
MT5000029476,C00356,CURRENT,INR,2021-06-27,LOW,ACTIVE
MT5000029513,C00357,SAVINGS,INR,2022-06-26,MEDIUM,ACTIVE
MT5000029600,C00358,BUSINESS,INR,2025-06-09,LOW,ACTIVE
MT5000029667,C00358,CURRENT,INR,2025-08-19,LOW,ACTIVE
MT5000029714,C00359,BUSINESS,INR,2023-09-04,LOW,ACTIVE
MT5000029806,C00359,CURRENT,INR,2023-11-30,LOW,ACTIVE
MT5000029823,C00360,SAVINGS,INR,2023-07-21,LOW,ACTIVE
MT5000029910,C00361,SAVINGS,INR,2023-04-10,MEDIUM,ACTIVE
MT5000029961,C00362,BUSINESS,INR,2021-05-02,HIGH,ACTIVE
MT5000030025,C00362,CURRENT,INR,2023-10-03,HIGH,ACTIVE
MT5000030119,C00363,SAVINGS,INR,2023-11-20,MEDIUM,ACTIVE
MT5000030138,C00363,WALLET,INR,2025-07-05,MEDIUM,ACTIVE
MT5000030229,C00364,SAVINGS,INR,2023-05-06,MEDIUM,ACTIVE
MT5000030245,C00364,WALLET,INR,2025-01-11,LOW,ACTIVE
MT5000030266,C00365,SAVINGS,INR,2020-12-05,LOW,ACTIVE
MT5000030282,C00366,SAVINGS,INR,2022-11-06,MEDIUM,ACTIVE
MT5000030297,C00366,CURRENT,INR,2024-08-06,LOW,ACTIVE
MT5000030345,C00367,BUSINESS,INR,2024-07-06,MEDIUM,ACTIVE
MT5000030408,C00368,BUSINESS,INR,2026-01-24,LOW,ACTIVE
MT5000030484,C00369,SAVINGS,INR,2023-11-10,LOW,ACTIVE
MT5000030521,C00370,SAVINGS,INR,2025-01-05,LOW,ACTIVE
MT5000030616,C00370,NRE,INR,2026-03-18,LOW,ACTIVE
MT5000030622,C00371,SAVINGS,INR,2023-11-18,LOW,ACTIVE
MT5000030680,C00372,SAVINGS,INR,2021-03-05,MEDIUM,ACTIVE
MT5000030773,C00373,SAVINGS,INR,2021-07-19,MEDIUM,ACTIVE
MT5000030838,C00374,SAVINGS,INR,2022-08-27,MEDIUM,ACTIVE
MT5000030896,C00374,WALLET,INR,2023-09-15,MEDIUM,ACTIVE
MT5000030908,C00375,SAVINGS,INR,2021-09-26,LOW,ACTIVE
MT5000030988,C00375,NRE,INR,2024-01-19,LOW,ACTIVE
MT5000031058,C00376,SAVINGS,INR,2025-12-19,MEDIUM,ACTIVE
MT5000031153,C00377,SAVINGS,INR,2024-08-31,LOW,ACTIVE
MT5000031175,C00377,WALLET,INR,2026-01-31,LOW,ACTIVE
MT5000031266,C00378,BUSINESS,INR,2024-06-28,LOW,ACTIVE
MT5000031282,C00378,CURRENT,INR,2025-09-29,LOW,ACTIVE
MT5000031356,C00379,SAVINGS,INR,2021-12-22,LOW,ACTIVE
MT5000031429,C00379,WALLET,INR,2025-02-28,LOW,ACTIVE
MT5000031432,C00380,SAVINGS,INR,2025-07-19,LOW,ACTIVE
MT5000031501,C00380,CURRENT,INR,2024-09-05,LOW,ACTIVE
MT5000031592,C00381,SAVINGS,INR,2021-07-08,MEDIUM,ACTIVE
MT5000031661,C00382,SAVINGS,INR,2022-10-27,LOW,ACTIVE
MT5000031737,C00382,CURRENT,INR,2020-12-26,LOW,ACTIVE
MT5000031791,C00383,SAVINGS,INR,2026-02-01,MEDIUM,ACTIVE
MT5000031832,C00383,NRE,INR,2024-10-12,LOW,ACTIVE
MT5000031902,C00384,SAVINGS,INR,2025-04-12,HIGH,ACTIVE
MT5000031926,C00384,NRE,INR,2021-11-30,HIGH,ACTIVE
MT5000031979,C00385,SAVINGS,INR,2022-06-02,LOW,ACTIVE
MT5000032021,C00386,SAVINGS,INR,2025-03-16,LOW,ACTIVE
MT5000032029,C00386,NRE,INR,2024-01-14,LOW,ACTIVE
MT5000032071,C00387,SAVINGS,INR,2024-10-10,MEDIUM,ACTIVE
MT5000032087,C00388,BUSINESS,INR,2025-12-06,LOW,ACTIVE
MT5000032184,C00388,CURRENT,INR,2024-11-23,LOW,ACTIVE
MT5000032234,C00389,SAVINGS,INR,2025-07-30,LOW,ACTIVE
MT5000032275,C00389,NRE,INR,2023-02-14,LOW,ACTIVE
MT5000032328,C00390,SAVINGS,INR,2022-09-02,LOW,ACTIVE
MT5000032331,C00390,NRE,INR,2023-02-12,MEDIUM,ACTIVE
MT5000032363,C00391,SAVINGS,INR,2021-12-11,LOW,ACTIVE
MT5000032380,C00391,NRE,INR,2023-01-14,LOW,ACTIVE
MT5000032462,C00392,SAVINGS,INR,2023-06-02,LOW,ACTIVE
MT5000032510,C00393,SAVINGS,INR,2023-03-12,MEDIUM,ACTIVE
MT5000032542,C00393,WALLET,INR,2023-11-06,MEDIUM,ACTIVE
MT5000032548,C00394,SAVINGS,INR,2026-03-20,MEDIUM,ACTIVE
MT5000032628,C00394,NRE,INR,2022-07-24,MEDIUM,ACTIVE
MT5000032690,C00395,SAVINGS,INR,2024-09-09,LOW,ACTIVE
MT5000032739,C00396,SAVINGS,INR,2024-04-02,MEDIUM,ACTIVE
MT5000032767,C00396,WALLET,INR,2021-07-05,LOW,ACTIVE
MT5000032862,C00397,SAVINGS,INR,2023-03-25,LOW,ACTIVE
MT5000032913,C00398,SAVINGS,INR,2022-04-22,LOW,ACTIVE
MT5000032985,C00399,SAVINGS,INR,2024-08-27,MEDIUM,ACTIVE
MT5000033050,C00400,SAVINGS,INR,2021-09-22,HIGH,ACTIVE
MT5000033094,C00401,SAVINGS,INR,2022-08-30,MEDIUM,ACTIVE
MT5000033191,C00401,WALLET,INR,2023-09-07,MEDIUM,ACTIVE
MT5000033233,C00402,SAVINGS,INR,2024-04-22,LOW,ACTIVE
MT5000033310,C00402,NRE,INR,2026-02-18,MEDIUM,ACTIVE
MT5000033311,C00403,SAVINGS,INR,2022-10-23,LOW,ACTIVE
MT5000033398,C00404,SAVINGS,INR,2025-04-01,MEDIUM,ACTIVE
MT5000033488,C00404,WALLET,INR,2023-06-25,MEDIUM,ACTIVE
MT5000033572,C00405,BUSINESS,INR,2022-07-28,LOW,ACTIVE
MT5000033576,C00405,CURRENT,INR,2021-08-24,LOW,ACTIVE
MT5000033622,C00406,SAVINGS,INR,2021-08-31,LOW,ACTIVE
MT5000033699,C00406,NRE,INR,2024-01-20,LOW,ACTIVE
MT5000033789,C00407,SAVINGS,INR,2026-03-05,LOW,ACTIVE
MT5000033837,C00407,CURRENT,INR,2024-12-24,LOW,ACTIVE
MT5000033925,C00408,SAVINGS,INR,2021-01-20,LOW,ACTIVE
MT5000033950,C00408,CURRENT,INR,2022-09-19,LOW,ACTIVE
MT5000033980,C00409,SAVINGS,INR,2023-06-15,MEDIUM,ACTIVE
MT5000033985,C00409,NRE,INR,2023-06-17,MEDIUM,ACTIVE
MT5000034012,C00410,SAVINGS,INR,2026-03-08,LOW,ACTIVE
MT5000034094,C00410,NRE,INR,2025-08-07,MEDIUM,ACTIVE
MT5000034158,C00411,SAVINGS,INR,2025-04-07,LOW,ACTIVE
MT5000034243,C00411,WALLET,INR,2023-01-19,LOW,ACTIVE
MT5000034266,C00412,SAVINGS,INR,2025-11-09,LOW,ACTIVE
MT5000034362,C00412,CURRENT,USD,2020-12-27,LOW,ACTIVE
MT5000034429,C00413,SAVINGS,INR,2022-02-19,LOW,ACTIVE
MT5000034516,C00414,SAVINGS,INR,2026-02-03,MEDIUM,ACTIVE
MT5000034585,C00415,SAVINGS,INR,2022-10-11,LOW,ACTIVE
MT5000034657,C00415,NRE,INR,2026-03-18,MEDIUM,ACTIVE
MT5000034741,C00416,SAVINGS,INR,2025-12-06,MEDIUM,ACTIVE
MT5000034783,C00416,NRE,INR,2021-06-27,MEDIUM,ACTIVE
MT5000034871,C00417,SAVINGS,INR,2023-04-26,MEDIUM,ACTIVE
MT5000034877,C00418,SAVINGS,INR,2021-04-07,MEDIUM,ACTIVE
MT5000034931,C00419,SAVINGS,INR,2023-03-28,LOW,ACTIVE
MT5000034956,C00420,SAVINGS,INR,2024-05-06,LOW,ACTIVE
MT5000034960,C00421,SAVINGS,INR,2022-02-01,LOW,ACTIVE
MT5000035049,C00421,NRE,INR,2025-10-21,MEDIUM,ACTIVE
MT5000035092,C00422,SAVINGS,INR,2024-06-24,MEDIUM,ACTIVE
MT5000035096,C00423,SAVINGS,INR,2023-07-14,MEDIUM,ACTIVE
MT5000035100,C00423,WALLET,INR,2021-10-02,MEDIUM,ACTIVE
MT5000035133,C00424,SAVINGS,INR,2024-11-01,LOW,ACTIVE
MT5000035177,C00425,SAVINGS,INR,2021-07-22,LOW,ACTIVE
MT5000035208,C00426,SAVINGS,INR,2020-12-06,HIGH,ACTIVE
MT5000035265,C00427,SAVINGS,INR,2021-12-09,LOW,ACTIVE
MT5000035323,C00427,WALLET,INR,2025-07-10,LOW,ACTIVE
MT5000035328,C00428,BUSINESS,INR,2024-02-09,LOW,ACTIVE
MT5000035337,C00429,BUSINESS,INR,2021-11-01,LOW,ACTIVE
MT5000035394,C00429,CURRENT,USD,2022-10-19,LOW,ACTIVE
MT5000035481,C00430,SAVINGS,INR,2025-11-28,LOW,ACTIVE
MT5000035530,C00431,SAVINGS,INR,2023-12-21,LOW,ACTIVE
MT5000035560,C00432,SAVINGS,INR,2021-05-17,LOW,ACTIVE
MT5000035645,C00432,WALLET,INR,2026-03-01,LOW,ACTIVE
MT5000035700,C00433,SAVINGS,INR,2021-04-15,LOW,ACTIVE
MT5000035713,C00433,NRE,INR,2022-07-28,MEDIUM,ACTIVE
MT5000035772,C00434,SAVINGS,INR,2023-04-28,LOW,ACTIVE
MT5000035797,C00434,CURRENT,USD,2022-11-20,LOW,ACTIVE
MT5000035822,C00435,BUSINESS,INR,2021-02-24,LOW,ACTIVE
MT5000035904,C00435,CURRENT,INR,2024-03-25,LOW,ACTIVE
MT5000035961,C00436,SAVINGS,INR,2025-03-07,LOW,ACTIVE
MT5000035967,C00436,CURRENT,USD,2022-12-11,LOW,ACTIVE
MT5000036064,C00437,SAVINGS,INR,2024-03-20,LOW,ACTIVE
MT5000036134,C00437,CURRENT,USD,2024-06-28,LOW,ACTIVE
MT5000036136,C00438,SAVINGS,INR,2023-04-27,LOW,ACTIVE
MT5000036144,C00439,SAVINGS,INR,2024-11-21,LOW,ACTIVE
MT5000036216,C00439,CURRENT,INR,2025-02-15,MEDIUM,ACTIVE
