external_ref,full_name,national_id,date_of_birth,customer_type,country,kyc_risk_rating
C00325,Krishna Fernhill,RMGFN3149D,1970-02-15,RETAIL,IN,LOW
C00326,Ananya Sundaram,MYWBN9761K,1972-12-12,RETAIL,IN,MEDIUM
C00327,Reyansh Quereshi,ABYDP9966E,1961-02-01,RETAIL,IN,LOW
C00328,Aarav Easwar,PXDXS7862B,1962-04-22,RETAIL,IN,LOW
C00329,Riya Sundaram,DRGVG4304F,1996-12-07,RETAIL,IN,LOW
C00330,Aditya Narang,RGYRL2458B,1951-02-22,RETAIL,IN,LOW
C00331,Ishaan Malhotri,SCZZD8483E,1970-09-27,RETAIL,IN,MEDIUM
C00332,Wadekar Logistics,BKMXL2556A,,BUSINESS,IN,LOW
C00333,Quereshi Logistics,LMQVJ7105F,,BUSINESS,IN,MEDIUM
C00334,Neha Devraj,NYRPW2852C,1964-12-18,RETAIL,IN,MEDIUM
C00335,Yeshwant Logistics,DPURU7221F,,BUSINESS,IN,LOW
C00336,Krishna Lokesh,RDPQB1202J,1978-03-11,RETAIL,IN,LOW
C00337,Marcus Castellan,XLSSY8091D,1958-07-18,RETAIL,IN,LOW
C00338,Kavya Rathore,TVBAW8688H,1995-05-11,RETAIL,IN,MEDIUM
C00339,Lokesh Infotech,HLJBS7607D,,BUSINESS,IN,LOW
C00340,Marcus Kulkarn,CRQLD2681G,1951-08-06,RETAIL,IN,HIGH
C00341,Aarav Wadekar,CVVWK8474F,1968-07-23,RETAIL,IN,MEDIUM
C00342,Castellan Hardware Mart,LTVVR8414B,,BUSINESS,IN,LOW
C00343,Aarav Fernhill,MWKTS1750C,1959-07-16,RETAIL,IN,LOW
C00344,Zoya Sundaram,JVGGD4532H,1985-04-01,RETAIL,IN,MEDIUM
C00345,Rohan Sundaram,PBWXU8493K,1990-06-02,RETAIL,GB,LOW
C00346,Lokesh Traders,SZBTP9328C,,BUSINESS,IN,MEDIUM
C00347,Krishna Sundaram,NXVVL7859K,1984-07-05,RETAIL,IN,LOW
C00348,Navya Harikumar,LKQEE5897J,1995-12-17,RETAIL,IN,LOW
C00349,Elena Quereshi,GGGVY3173C,1980-12-23,RETAIL,IN,LOW
C00350,Kabir Sethuram,DMTRU9747E,1987-06-15,RETAIL,IN,LOW
C00351,Aarav Mirchandan,DANEB5374C,1967-12-08,RETAIL,SG,LOW
C00352,Ishaan Wadekar,BYKGT2679K,1990-08-09,RETAIL,IN,LOW
C00353,Kiara Thakkar,WTNHS1769G,1975-10-22,RETAIL,IN,LOW
C00354,Kabir Narang,BAZJG4695F,1989-10-01,RETAIL,IN,LOW
C00355,Leo Bhandari,ZGKQF4063C,1956-09-06,RETAIL,IN,HIGH
C00356,Kestrel Pharma Distributors,JTJEF1092F,,BUSINESS,IN,LOW
C00357,Aditya Rathore,LVBWV9037K,1977-01-07,RETAIL,IN,MEDIUM
C00358,Sethuram Infotech,SHFSC7814J,,BUSINESS,IN,LOW
C00359,Castellan Textiles,XLLMK8780J,,BUSINESS,IN,LOW
C00360,Aarav Sundaram,XMQHW1653F,1971-11-16,RETAIL,IN,LOW
C00361,Ayaan Harikumar,JTZKA9426J,1983-08-22,RETAIL,IN,MEDIUM
C00362,Zaveri Textiles,LSCDF9736A,,BUSINESS,IN,HIGH
C00363,Aadhya Yeshwant,XPDGT2181C,1989-01-17,RETAIL,IN,MEDIUM
C00364,Aditya Malhotri,CBFJT5237G,1970-06-04,RETAIL,IN,LOW
C00365,Farhan Fernhill,ANXDT1745B,1955-09-04,RETAIL,IN,LOW
C00366,Riya Venkatesh,XKVCK7249G,1989-04-07,RETAIL,IN,LOW
C00367,Iyengar Auto Parts,HEZNT5883F,,BUSINESS,GB,LOW
C00368,Yeshwant Auto Parts,EDBAU9970B,,BUSINESS,IN,LOW
C00369,Nikhil Bhandari,PWSEF4183B,1972-09-03,RETAIL,IN,LOW
C00370,Vihaan Yeshwant,TQWTC5107B,1956-01-17,RETAIL,IN,LOW
C00371,Rohan Ganeshan,EXWHD4170F,1956-04-06,RETAIL,IN,LOW
C00372,Meera Sethuram,UEUUM3762A,1988-06-04,RETAIL,IN,MEDIUM
C00373,Farhan Devraj,MEXZL8296F,1991-07-11,RETAIL,IN,MEDIUM
C00374,Reyansh Iyengar,WVCJE5312B,1967-08-16,RETAIL,IN,MEDIUM
C00375,Vikram Quereshi,AUUNU5269J,1953-04-16,RETAIL,IN,LOW
C00376,Ishaan Ganeshan,NHUZK9362B,1994-12-16,RETAIL,IN,LOW
C00377,Myra Yeshwant,VXFSE3395H,1966-01-27,RETAIL,AE,LOW
C00378,Upadhyay Hardware Mart,HCJMH9485F,,BUSINESS,IN,LOW
C00379,Aditya Kestrel,WLDYS5314K,1974-07-15,RETAIL,IN,LOW
C00380,Kavya Ganeshan,UWCSJ9460G,1969-12-30,RETAIL,IN,LOW
C00381,Sneha Venkatesh,RVASE2263J,1970-08-20,RETAIL,IN,LOW
C00382,Diya Iyengar,MVYDX2856H,1979-08-17,RETAIL,IN,LOW
C00383,Hana Iyengar,WPAHB3207J,1964-06-15,RETAIL,IN,LOW
C00384,Vihaan Iyengar,JFSNV5644B,1951-09-03,RETAIL,IN,HIGH
C00385,Rahul Yeshwant,RFHPV9369E,1966-04-26,RETAIL,IN,LOW
C00386,Neha Pillaiyar,UCHNN4315J,1951-06-27,RETAIL,IN,LOW
C00387,Zoya Wadekar,EVDFR9706J,1953-07-03,RETAIL,IN,MEDIUM
C00388,Raghunath Logistics,VTAXW7068A,,BUSINESS,IN,LOW
C00389,Rahul Venkatesh,NMUZY3193E,1988-03-04,RETAIL,IN,LOW
C00390,Sai Easwar,VTPJG9561B,1950-08-22,RETAIL,IN,LOW
C00391,Aadhya Sethuram,LPMDE5281J,1972-10-03,RETAIL,IN,LOW
C00392,Navya Raghunath,NGPTT8925E,1983-03-20,RETAIL,SG,LOW
C00393,Tara Thakkar,EXDZH2642D,1964-07-07,RETAIL,IN,LOW
C00394,Elena Pillaiyar,YXYBF2492C,1950-06-23,RETAIL,IN,LOW
C00395,Sai Malhotri,JHMCV7564K,1984-06-24,RETAIL,IN,LOW
C00396,Leo Kestrel,FWRQA5685D,1996-06-26,RETAIL,IN,LOW
C00397,Lakshmi Sethuram,HVFXB3579B,1950-01-10,RETAIL,SG,LOW
C00398,Nikhil Raghunath,NNUGS2477J,1956-02-27,RETAIL,IN,LOW
C00399,Hana Ganeshan,MJHVG1076E,1986-03-29,RETAIL,IN,LOW
C00400,Elena Malhotri,SKLDS5098H,1998-04-05,RETAIL,GB,HIGH
C00401,Myra Upadhyay,LQXQU2904E,1993-03-29,RETAIL,IN,MEDIUM
C00402,Kiara Raghunath,YHLPM5314D,1950-11-15,RETAIL,IN,LOW
C00403,Rohan Malhotri,TFRLM3994D,1974-02-21,RETAIL,IN,LOW
C00404,Myra Yeshwant,JGHGH3555B,1981-12-10,RETAIL,IN,MEDIUM
C00405,Raghunath Hardware Mart,VATBR9066K,,BUSINESS,IN,LOW
C00406,Vikram Devraj,NHUEB8836J,1987-12-19,RETAIL,IN,LOW
C00407,Diya Kulkarn,DYSQL4452G,1951-01-23,RETAIL,IN,LOW
C00408,Nora Yeshwant,JFTJH6995C,1980-10-12,RETAIL,IN,LOW
C00409,Priya Ganeshan,NJQFU2636E,1970-07-04,RETAIL,IN,LOW
C00410,Kavya Bhandari,EZERA3203J,1994-10-27,RETAIL,IN,LOW
C00411,Sneha Easwar,JTUBN1983D,1964-08-27,RETAIL,IN,LOW
C00412,Reyansh Kulkarn,ZLJMM6638A,1973-02-13,RETAIL,IN,LOW
C00413,Leo Bhandari,UUWWT6818F,1975-07-15,RETAIL,IN,LOW
C00414,Imran Zaveri,CNVKQ3745F,1962-12-30,RETAIL,IN,LOW
C00415,Tara Yeshwant,CCFLH5382K,1976-02-21,RETAIL,IN,LOW
C00416,Imran Upadhyay,MZUSQ1378C,1966-07-01,RETAIL,IN,LOW
C00417,Sai Bhandari,FNDDC9985A,1992-06-14,RETAIL,IN,MEDIUM
C00418,Sai Sundaram,JVECW6068D,1984-12-22,RETAIL,IN,MEDIUM
C00419,Krishna Rathore,SFABX8801H,1979-03-06,RETAIL,GB,LOW
C00420,Navya Narang,QEYTF8126J,1990-12-17,RETAIL,IN,LOW
C00421,Nikhil Lokesh,THCQK3551E,1973-04-23,RETAIL,IN,LOW
C00422,Krishna Ganeshan,KRTAY5908A,1992-10-19,RETAIL,IN,MEDIUM
C00423,Leo Castellan,ATMGP7467D,1989-03-20,RETAIL,IN,MEDIUM
C00424,Kavya Wadekar,NHJCP5454E,1996-05-07,RETAIL,IN,LOW
C00425,Navya Jadhavan,GCFEK8418E,1990-11-07,RETAIL,IN,LOW
C00426,Kabir Vardhan,EBTAF5410C,1975-04-24,RETAIL,IN,HIGH
C00427,Kiara Malhotri,EARGL7084H,1994-09-18,RETAIL,IN,LOW
C00428,Malhotri Logistics,BJNCT5097G,,BUSINESS,IN,LOW
C00429,Upadhyay Textiles,NQHZB9538D,,BUSINESS,IN,LOW
C00430,Meera Ashbury,LFWZB3001E,1996-09-25,RETAIL,IN,LOW
C00431,Priya Zaveri,BXGDH1246C,1979-02-11,RETAIL,IN,LOW
C00432,Tara Venkatesh,HABUY7084B,1963-11-27,RETAIL,IN,LOW
C00433,Nora Fernhill,WBBMW2759C,1998-02-13,RETAIL,IN,LOW
C00434,Elena Venkatesh,WMQZG6868C,1983-11-22,RETAIL,IN,LOW
C00435,Sethuram Hardware Mart,TKTYR9906F,,BUSINESS,IN,LOW
C00436,Leo Ashbury,TFCSE9873F,1973-08-17,RETAIL,IN,LOW
C00437,Vikram Harikumar,ZFAVM6254B,1971-06-04,RETAIL,IN,LOW
C00438,Kavya Bhandari,SXRTE7714F,1978-12-10,RETAIL,IN,LOW
C00439,Arjun Kestrel,EFBGD1521K,1958-11-10,RETAIL,IN,LOW
C00440,Sneha Mirchandan,VYUJB1214D,1956-05-11,RETAIL,IN,LOW
C00441,Sai Kulkarn,WBMTZ7046A,1987-04-26,RETAIL,IN,MEDIUM
C00442,Aditya Thakkar,CKCGS9710G,1970-09-22,RETAIL,IN,LOW
C00443,Myra Oberai,WFTZT6864H,1959-06-20,RETAIL,IN,LOW
C00444,Reyansh Iyengar,FTNSL8258F,1997-11-24,RETAIL,IN,LOW
C00445,Kabir Yeshwant,MPWPZ9939D,1971-08-06,RETAIL,IN,LOW
C00446,Anika Ganeshan,QQNAZ1267J,1975-07-10,RETAIL,IN,LOW
C00447,Aarav Easwar,HGLAY3534B,1995-11-14,RETAIL,IN,MEDIUM
C00448,Krishna Devraj,MUHHJ7550K,1958-03-31,RETAIL,IN,MEDIUM
C00449,Kabir Venkatesh,RFRYY5921A,1958-07-22,RETAIL,IN,LOW
C00450,Sai Upadhyay,BLMPP4714K,1960-10-24,RETAIL,AE,MEDIUM
C00451,Kavya Kestrel,KSBLT9231D,1979-04-28,RETAIL,IN,LOW
C00452,Tara Kulkarn,VUSCH3425C,1985-05-18,RETAIL,IN,LOW
C00453,Vihaan Narang,NJCNS3209H,1961-09-12,RETAIL,IN,LOW
C00454,Marcus Bhandari,TVZSH8046F,1973-11-20,RETAIL,IN,LOW
C00455,Ayaan Raghunath,PPMMG5994C,1952-03-04,RETAIL,SG,LOW
C00456,Imran Pillaiyar,EQBHG2405B,1963-12-30,RETAIL,IN,LOW
C00457,Nora Ashbury,EKALY8373H,1977-05-17,RETAIL,IN,MEDIUM
C00458,Omar Bhandari,GTSJT1301G,1962-09-06,RETAIL,IN,LOW
C00459,Aditya Devraj,FBKGY8617A,1954-10-06,RETAIL,IN,LOW
C00460,Priya Yeshwant,DAKWN9331B,1984-02-26,RETAIL,IN,LOW
C00461,Leo Narang,CFGSQ1651D,1951-12-06,RETAIL,AE,LOW
C00462,Sneha Harikumar,ZFAMX4869J,1977-02-14,RETAIL,IN,LOW
C00463,Devraj Pharma Distributors,ATJHE3248B,,BUSINESS,IN,LOW
C00464,Nora Yeshwant,WXHPH6118K,1988-04-05,RETAIL,IN,LOW
C00465,Aadhya Quereshi,EUTXG9582C,1977-09-21,RETAIL,IN,MEDIUM
C00466,Ishaan Quereshi,UFLCT4016F,1960-08-15,RETAIL,IN,LOW
C00467,Vardhan Infotech,PPKQZ3489D,,BUSINESS,IN,MEDIUM
C00468,Nora Pillaiyar,JVUVH1427F,1970-09-19,RETAIL,IN,LOW
C00469,Krishna Mirchandan,VRYWM9051H,1984-10-05,RETAIL,IN,LOW
C00470,Aditya Jadhavan,AJPHZ4351B,1968-03-13,RETAIL,IN,LOW
C00471,Imran Yeshwant,VRYLQ7633A,1988-05-11,RETAIL,IN,MEDIUM
C00472,Kabir Harikumar,VZUVT9530B,1953-06-15,RETAIL,IN,LOW
C00473,Aditya Zaveri,HSTNZ9456A,1984-10-03,RETAIL,IN,LOW
C00474,Meera Upadhyay,KQFPK9470C,1954-11-23,RETAIL,IN,LOW
C00475,Sai Thakkar,SDFUY7775F,1985-04-07,RETAIL,IN,LOW
C00476,Hana Zaveri,YGQCJ3024B,1964-09-17,RETAIL,IN,LOW
C00477,Priya Malhotri,SYNZS7204J,1964-05-06,RETAIL,IN,LOW
C00478,Rohan Oberai,XEFEF7874E,1954-08-09,RETAIL,IN,LOW
C00479,Imran Easwar,WFDEG1200H,1972-09-15,RETAIL,IN,LOW
C00480,Aarav Pillaiyar,RHGUX8239B,1986-10-18,RETAIL,IN,LOW
C00481,Zaveri Auto Parts,JVWTG1902F,,BUSINESS,IN,LOW
C00482,Marcus Wadekar,VKLCB3643E,1965-12-28,RETAIL,IN,LOW
C00483,Leo Oberai,TFQZU2525E,1953-03-20,RETAIL,IN,LOW
C00484,Arjun Upadhyay,PTCKR6393J,1974-08-15,RETAIL,IN,LOW
C00485,Aadhya Pillaiyar,BDUZW8924K,1957-11-12,RETAIL,AE,LOW
C00486,Riya Jadhavan,VLJSU3125K,1981-09-30,RETAIL,IN,HIGH
C00487,Sneha Lokesh,FVHYK2936A,1950-02-21,RETAIL,IN,HIGH
C00488,Aadhya Venkatesh,VPPBL1185D,1969-01-18,RETAIL,IN,LOW
C00489,Arjun Easwar,KSTLA6592G,1979-11-26,RETAIL,IN,LOW
C00490,Vivaan Wadekar,FGLLX1582C,1992-07-27,RETAIL,IN,LOW
C00491,Omar Zaveri,LQPZB6169J,1976-11-08,RETAIL,IN,MEDIUM
C00492,Rohan Venkatesh,MCEJA9753C,1983-08-31,RETAIL,IN,LOW
C00493,Leo Sundaram,KYLYB9143D,1957-10-15,RETAIL,IN,LOW
C00494,Meera Bhandari,SKFDM2517H,1968-02-18,RETAIL,IN,LOW
C00495,Vikram Rathore,GLRZS3347B,1979-05-15,RETAIL,IN,LOW
C00496,Krishna Bhandari,ZBQNY1067E,1960-05-23,RETAIL,AE,MEDIUM
C00497,Leo Yeshwant,CLQBD1368K,1978-01-13,RETAIL,IN,LOW
C00498,Aadhya Fernhill,GGKJT2927E,1989-07-29,RETAIL,IN,LOW
C00499,Aarav Pillaiyar,TSDGT5440C,1978-07-29,RETAIL,AE,LOW
C00500,Marcus Castellan,FCKVL3131A,1954-07-21,RETAIL,IN,LOW
