txn_ref,account_number,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,jurisdiction,occurred_at
TXN0011472,MT5000038056,CREDIT,46785.91,INR,Quereshi Traders,CP3874092402,IN,IMPS,IN,2026-06-12T12:18:45Z
TXN0004031,MT5000012828,DEBIT,38961.66,INR,FuelPoint,CP7443449460,GB,UPI,GB,2026-06-12T12:26:16Z
TXN0009621,MT5000031592,DEBIT,10932.91,INR,Hospital Billing,CP7924914903,IN,ATM,IN,2026-06-12T12:27:23Z
TXN0003358,MT5000010856,CREDIT,7797.59,INR,School Fees Trust,CP1922107899,IN,ATM,IN,2026-06-12T12:30:01Z
TXN0004593,MT5000014764,DEBIT,151001.85,INR,Venkatesh Agro Foods,CP6875328690,IN,IMPS,IN,2026-06-12T12:36:50Z
TXN0004538,MT5000014516,DEBIT,42282.56,INR,PhoneNet Telecom,CP7934415903,IN,CARD,IN,2026-06-12T12:39:18Z
TXN0010256,MT5000033980,DEBIT,44495.87,INR,City Power Board,CP6181871160,IN,CARD,IN,2026-06-12T12:39:56Z
TXN0010165,MT5000033576,CREDIT,69678.77,INR,Bhandari Textiles,CP9857057207,GB,CHEQUE,GB,2026-06-12T12:40:01Z
TXN0006475,MT5000021077,DEBIT,34283.25,INR,Insure Life Co,CP3307474669,IN,NEFT,IN,2026-06-12T12:42:02Z
TXN0008678,MT5000028374,CREDIT,127112.43,INR,Kulkarn Logistics,CP1817075731,IN,IMPS,IN,2026-06-12T12:45:51Z
TXN0007165,MT5000023171,CREDIT,15931.58,INR,City Power Board,CP8814009635,IN,NEFT,IN,2026-06-12T12:55:22Z
TXN0007180,MT5000023252,DEBIT,42746.71,INR,BookWorld,CP9506268269,IN,IMPS,IN,2026-06-12T12:58:59Z
TXN0011305,MT5000037395,DEBIT,12288.57,INR,FuelPoint,CP1163828628,IN,UPI,IN,2026-06-12T13:01:06Z
TXN0008826,MT5000028953,DEBIT,316.83,USD,Cloud Kitchen Co,CP5507124339,IN,ATM,IN,2026-06-12T13:04:02Z
TXN0011419,MT5000037957,DEBIT,22692.10,INR,BookWorld,CP2705009799,IN,CARD,IN,2026-06-12T13:13:19Z
TXN0003308,MT5000010708,DEBIT,41698.41,INR,Hospital Billing,CP3568562234,IN,ATM,IN,2026-06-12T13:16:43Z
TXN0000377,MT5000001369,DEBIT,4873.80,INR,Insure Life Co,CP7892457034,IN,NEFT,IN,2026-06-12T13:19:24Z
TXN0003398,MT5000010932,DEBIT,90548.34,INR,Fernhill Textiles,CP7424594295,IN,RTGS,IN,2026-06-12T13:28:39Z
TXN0007711,MT5000025263,DEBIT,5097.61,INR,Apollo Pharmacy Store,CP4557825814,IN,NEFT,IN,2026-06-12T13:43:13Z
TXN0004189,MT5000013396,DEBIT,11637.51,INR,Metro Rail Card,CP2890964718,IN,NEFT,IN,2026-06-12T13:44:00Z
TXN0012525,MT5000025281,DEBIT,150000.00,INR,Anika Kulkarn,CP3458583307,IN,NEFT,IN,2026-06-12T13:58:58Z
TXN0010583,MT5000035177,DEBIT,43859.84,INR,Insure Life Co,CP7764422487,IN,UPI,IN,2026-06-12T14:03:24Z
TXN0009929,MT5000032548,DEBIT,25336.57,INR,Insure Life Co,CP9224688996,IN,NEFT,IN,2026-06-12T14:09:38Z
TXN0004957,MT5000016126,DEBIT,30337.62,INR,Apollo Pharmacy Store,CP9151971418,IN,IMPS,IN,2026-06-12T14:22:24Z
TXN0006977,MT5000022812,CREDIT,37048.36,INR,School Fees Trust,CP5289621615,IN,ATM,IN,2026-06-12T14:36:31Z
TXN0003996,MT5000012798,CREDIT,19619.16,INR,Cloud Kitchen Co,CP1016238562,IN,CARD,IN,2026-06-12T14:47:39Z
TXN0010499,MT5000034960,DEBIT,16634.04,INR,PhoneNet Telecom,CP6462026229,IN,NEFT,IN,2026-06-12T14:51:41Z
TXN0006500,MT5000021099,DEBIT,146612.55,INR,Ashbury Logistics,CP9883233074,IN,CHEQUE,IN,2026-06-12T15:01:43Z
TXN0004248,MT5000013598,DEBIT,5732.36,INR,City Power Board,CP7324442833,US,UPI,US,2026-06-12T15:03:54Z
TXN0009266,MT5000030345,CREDIT,49998.84,INR,Bhandari Agro Foods,CP8169114430,IN,IMPS,IN,2026-06-12T15:06:44Z
TXN0008789,MT5000028795,DEBIT,38743.96,INR,FuelPoint,CP6573515897,IN,UPI,IN,2026-06-12T15:14:37Z
TXN0001000,MT5000003504,CREDIT,93146.68,INR,Bhandari Hardware Mart,CP5151602251,IN,RTGS,IN,2026-06-12T15:15:46Z
TXN0010180,MT5000033622,DEBIT,9188.32,INR,Grocery Mart,CP2393465859,IN,UPI,IN,2026-06-12T15:25:24Z
TXN0002173,MT5000007185,DEBIT,19694.41,INR,Water Board,CP8691868390,IN,IMPS,IN,2026-06-13T02:36:57Z
TXN0004643,MT5000014896,DEBIT,33896.14,INR,Insure Life Co,CP3496497080,IN,NEFT,IN,2026-06-13T02:58:25Z
TXN0010166,MT5000033576,DEBIT,102069.97,INR,Yeshwant Traders,CP7723579117,IN,CHEQUE,IN,2026-06-13T02:59:12Z
TXN0004124,MT5000013211,CREDIT,74379.97,INR,Raghunath Textiles,CP1677942904,IN,CHEQUE,IN,2026-06-13T03:01:49Z
TXN0007491,MT5000024412,DEBIT,9412.06,INR,Insure Life Co,CP8725284071,IN,IMPS,IN,2026-06-13T03:07:53Z
TXN0011202,MT5000036966,CREDIT,3446.91,INR,BookWorld,CP5223248044,IN,IMPS,IN,2026-06-13T03:08:10Z
TXN0007661,MT5000024999,CREDIT,101493.50,INR,Harikumar Hardware Mart,CP6537959820,IN,RTGS,IN,2026-06-13T03:20:54Z
TXN0002480,MT5000007973,CREDIT,18382.07,INR,City Power Board,CP1962705614,IN,IMPS,IN,2026-06-13T03:23:24Z
TXN0005514,MT5000017980,DEBIT,22226.88,INR,BookWorld,CP2689235931,IN,CARD,IN,2026-06-13T03:35:35Z
TXN0002323,MT5000007422,DEBIT,36908.05,INR,Apollo Pharmacy Store,CP8285480060,IN,IMPS,IN,2026-06-13T03:37:33Z
TXN0010911,MT5000036134,DEBIT,258.48,USD,BookWorld,CP6882362801,GB,ATM,GB,2026-06-13T03:48:52Z
TXN0004675,MT5000015014,DEBIT,32022.47,INR,Hospital Billing,CP5390141696,IN,CARD,IN,2026-06-13T03:52:42Z
TXN0003346,MT5000010799,DEBIT,28335.08,INR,Insure Life Co,CP1836863169,IN,CARD,IN,2026-06-13T03:53:09Z
TXN0005757,MT5000018783,DEBIT,8268.38,INR,RentPay Housing,CP4136177781,IN,CARD,IN,2026-06-13T03:55:24Z
TXN0005984,MT5000019526,DEBIT,2470.84,INR,Cloud Kitchen Co,CP5340080914,IN,UPI,IN,2026-06-13T03:55:39Z
TXN0006362,MT5000020857,DEBIT,86447.42,INR,Ganeshan Infotech,CP4401835045,IN,RTGS,IN,2026-06-13T03:56:39Z
TXN0004288,MT5000013825,DEBIT,40864.39,INR,Apollo Pharmacy Store,CP3916142604,IN,IMPS,IN,2026-06-13T04:01:23Z
TXN0011212,MT5000036981,DEBIT,28902.93,INR,City Power Board,CP7641488071,IN,NEFT,IN,2026-06-13T04:01:50Z
TXN0001958,MT5000006586,DEBIT,80251.67,INR,Sethuram Hardware Mart,CP7870668249,IN,IMPS,IN,2026-06-13T04:02:47Z
TXN0006739,MT5000022035,DEBIT,14467.43,INR,Metro Rail Card,CP5659257963,IN,CARD,IN,2026-06-13T04:15:17Z
TXN0005017,MT5000016254,DEBIT,38963.33,INR,Water Board,CP4925602403,IN,ATM,IN,2026-06-13T04:32:28Z
TXN0005390,MT5000017557,DEBIT,9164.57,INR,RentPay Housing,CP2388694835,IN,UPI,IN,2026-06-13T04:32:43Z
TXN0001339,MT5000004697,DEBIT,16424.03,INR,Metro Rail Card,CP8777794369,IN,IMPS,IN,2026-06-13T04:37:24Z
TXN0002418,MT5000007730,CREDIT,19212.60,INR,Hospital Billing,CP9303909734,IN,UPI,IN,2026-06-13T04:39:18Z
TXN0007325,MT5000023848,DEBIT,15343.27,INR,Metro Rail Card,CP8471341753,IN,NEFT,IN,2026-06-13T04:42:40Z
TXN0002677,MT5000008425,DEBIT,28174.91,INR,Cinema Plex,CP6713571316,IN,UPI,IN,2026-06-13T04:48:34Z
TXN0012526,MT5000025281,DEBIT,150000.00,INR,Riya Oberai,CP4993887339,IN,CASH,IN,2026-06-13T04:48:46Z
TXN0006427,MT5000021000,CREDIT,25647.03,INR,Sundaram Jewellers,CP8997611597,IN,NEFT,IN,2026-06-13T04:54:42Z
TXN0004071,MT5000013025,DEBIT,1388.97,INR,Swiggle Foods,CP2908736023,IN,CARD,IN,2026-06-13T05:02:20Z
TXN0010424,MT5000034783,DEBIT,23617.88,INR,PhoneNet Telecom,CP4225881489,IN,ATM,IN,2026-06-13T05:03:12Z
TXN0008674,MT5000028374,DEBIT,88853.54,INR,Mirchandan Auto Parts,CP7268955808,IN,NEFT,IN,2026-06-13T05:08:28Z
TXN0001361,MT5000004844,DEBIT,31150.91,INR,Apollo Pharmacy Store,CP5177200371,IN,UPI,IN,2026-06-13T05:09:16Z
TXN0010690,MT5000035394,DEBIT,1333.83,USD,Thakkar Pharma Distributors,CP7333587296,IN,IMPS,IN,2026-06-13T05:12:39Z
TXN0005592,MT5000018315,DEBIT,10713.07,INR,Swiggle Foods,CP7358682459,IN,UPI,IN,2026-06-13T05:26:24Z
TXN0000578,MT5000002040,CREDIT,32144.75,INR,Cinema Plex,CP1066970190,IN,UPI,IN,2026-06-13T06:01:13Z
TXN0008922,MT5000029395,DEBIT,155645.84,INR,Venkatesh Exports,CP7523389988,IN,CHEQUE,IN,2026-06-13T06:12:33Z
TXN0011253,MT5000037143,DEBIT,18356.91,INR,City Power Board,CP7324059662,IN,UPI,IN,2026-06-13T06:17:37Z
TXN0010832,MT5000035822,DEBIT,162054.62,INR,Harikumar Exports,CP4700904744,IN,NEFT,IN,2026-06-13T06:29:06Z
TXN0008632,MT5000028297,DEBIT,1664.64,INR,Swiggle Foods,CP5346739225,IN,IMPS,IN,2026-06-13T06:30:41Z
TXN0003393,MT5000010932,CREDIT,51193.32,INR,Kestrel Agro Foods,CP2316333341,IN,CHEQUE,IN,2026-06-13T06:47:23Z
TXN0001925,MT5000006498,DEBIT,7229.54,INR,Swiggle Foods,CP3259190770,IN,UPI,IN,2026-06-13T07:00:20Z
TXN0008488,MT5000027896,CREDIT,113756.95,INR,Harikumar Textiles,CP2105925810,IN,IMPS,IN,2026-06-13T07:01:28Z
TXN0010065,MT5000033233,DEBIT,12167.74,INR,School Fees Trust,CP5464599881,IN,IMPS,IN,2026-06-13T07:10:16Z
TXN0011138,MT5000036812,DEBIT,1736.59,INR,Cinema Plex,CP5972122883,US,UPI,US,2026-06-13T07:18:19Z
TXN0010862,MT5000035904,DEBIT,74505.74,INR,Ashbury Infotech,CP8410431275,IN,IMPS,IN,2026-06-13T07:21:09Z
TXN0005729,MT5000018742,DEBIT,13632.19,INR,Swiggle Foods,CP8725781152,IN,IMPS,IN,2026-06-13T07:21:28Z
TXN0000038,MT5000000150,CREDIT,29437.13,INR,Venkatesh Textiles,CP3733461689,IN,RTGS,IN,2026-06-13T07:27:55Z
TXN0005484,MT5000017867,DEBIT,32298.77,INR,Cinema Plex,CP8253927658,IN,NEFT,IN,2026-06-13T07:29:43Z
TXN0006956,MT5000022725,DEBIT,30820.85,INR,RentPay Housing,CP4653316493,IN,IMPS,IN,2026-06-13T07:30:51Z
TXN0003701,MT5000011819,DEBIT,14684.97,INR,Insure Life Co,CP4269128429,IN,IMPS,IN,2026-06-13T07:36:16Z
TXN0004770,MT5000015351,DEBIT,42921.26,INR,Grocery Mart,CP8478212142,IN,UPI,IN,2026-06-13T08:07:05Z
TXN0010570,MT5000035133,DEBIT,18055.68,INR,Metro Rail Card,CP9953315706,IN,UPI,IN,2026-06-13T08:16:32Z
TXN0006665,MT5000021645,DEBIT,5874.35,INR,Cinema Plex,CP1652126587,IN,CARD,IN,2026-06-13T08:16:40Z
TXN0011953,MT5000039610,DEBIT,3434.56,INR,BookWorld,CP5012931113,SG,ATM,SG,2026-06-13T08:18:41Z
TXN0008416,MT5000027651,DEBIT,23284.94,INR,Cinema Plex,CP3982120037,IN,ATM,IN,2026-06-13T08:30:52Z
TXN0010419,MT5000034741,DEBIT,18133.49,INR,Hospital Billing,CP5070352316,IN,NEFT,IN,2026-06-13T08:46:29Z
TXN0011995,MT5000039772,CREDIT,21743.29,INR,School Fees Trust,CP9869395765,IN,ATM,IN,2026-06-13T08:59:11Z
TXN0001595,MT5000005543,DEBIT,12308.10,INR,Grocery Mart,CP7230180559,IN,UPI,IN,2026-06-13T09:04:01Z
TXN0003780,MT5000012057,DEBIT,6043.58,INR,BookWorld,CP4999620208,IN,UPI,IN,2026-06-13T09:05:15Z
TXN0001878,MT5000006356,DEBIT,67744.17,INR,Pillaiyar Hardware Mart,CP7493985530,IN,IMPS,IN,2026-06-13T09:20:00Z
TXN0005763,MT5000018866,DEBIT,2392.79,INR,BookWorld,CP8777173938,IN,NEFT,IN,2026-06-13T09:27:26Z
TXN0007891,MT5000025770,DEBIT,6173.28,INR,PhoneNet Telecom,CP9733811367,AE,CARD,AE,2026-06-13T09:32:57Z
TXN0001974,MT5000006656,DEBIT,70547.63,INR,Castellan Textiles,CP6979676351,GB,IMPS,GB,2026-06-13T10:23:23Z
TXN0010916,MT5000036134,DEBIT,39.44,USD,Hospital Billing,CP9100084878,IN,IMPS,IN,2026-06-13T10:24:02Z
TXN0008139,MT5000026872,DEBIT,22219.61,INR,Cinema Plex,CP1562986298,IN,NEFT,IN,2026-06-13T10:44:00Z
TXN0011383,MT5000037820,DEBIT,26027.61,INR,Cinema Plex,CP5867049686,IN,CARD,IN,2026-06-13T10:45:54Z
TXN0007218,MT5000023389,DEBIT,750.03,INR,RentPay Housing,CP4959193198,IN,CARD,IN,2026-06-13T10:47:57Z
TXN0000275,MT5000000933,DEBIT,50421.90,INR,Oberai Hardware Mart,CP4665417862,IN,RTGS,IN,2026-06-13T10:52:22Z
TXN0007812,MT5000025541,CREDIT,27766.83,INR,Swiggle Foods,CP9164652689,IN,NEFT,IN,2026-06-13T10:53:56Z
TXN0002333,MT5000007476,CREDIT,22604.75,INR,Apollo Pharmacy Store,CP9801787009,IN,UPI,IN,2026-06-13T11:03:54Z
TXN0010968,MT5000036242,DEBIT,31386.21,INR,Hospital Billing,CP7031635491,IN,ATM,IN,2026-06-13T11:18:38Z
TXN0011163,MT5000036893,DEBIT,10004.30,INR,Cinema Plex,CP7135207101,IN,CARD,IN,2026-06-13T11:34:19Z
TXN0001289,MT5000004421,DEBIT,6769.51,INR,City Power Board,CP8621830672,IN,CARD,IN,2026-06-13T11:34:22Z
TXN0001894,MT5000006406,DEBIT,132402.54,INR,Sethuram Agro Foods,CP7055895360,IN,CHEQUE,IN,2026-06-13T11:59:05Z
TXN0001789,MT5000006160,DEBIT,89909.98,INR,Rathore Textiles,CP9328142690,IN,RTGS,IN,2026-06-13T12:03:45Z
TXN0011865,MT5000039340,DEBIT,12343.62,INR,Metro Rail Card,CP3557562218,IN,ATM,IN,2026-06-13T12:17:43Z
TXN0000238,MT5000000861,DEBIT,138254.52,INR,Iyengar Infotech,CP2955139212,IN,RTGS,IN,2026-06-13T12:34:10Z
TXN0005672,MT5000018582,DEBIT,9996.64,INR,PhoneNet Telecom,CP8884825488,IN,NEFT,IN,2026-06-13T12:38:17Z
TXN0005419,MT5000017643,DEBIT,21253.22,INR,Hospital Billing,CP9416558259,IN,UPI,IN,2026-06-13T12:38:57Z
TXN0011481,MT5000038056,DEBIT,64834.56,INR,Quereshi Infotech,CP2529671299,US,RTGS,US,2026-06-13T12:46:23Z
TXN0003171,MT5000010219,DEBIT,40321.12,INR,School Fees Trust,CP4245971484,IN,IMPS,IN,2026-06-13T12:52:46Z
TXN0004411,MT5000014100,CREDIT,160789.06,INR,Vardhan Infotech,CP9558549893,SG,RTGS,SG,2026-06-13T12:53:49Z
TXN0002369,MT5000007627,DEBIT,1751.95,INR,Water Board,CP1866364653,IN,NEFT,IN,2026-06-13T13:28:10Z
TXN0002459,MT5000007953,DEBIT,29770.49,INR,Insure Life Co,CP3701677843,IN,NEFT,IN,2026-06-13T13:32:52Z
TXN0011965,MT5000039632,DEBIT,32594.29,INR,BookWorld,CP1603995830,US,UPI,US,2026-06-13T13:54:32Z
TXN0006858,MT5000022466,CREDIT,15503.30,INR,Swiggle Foods,CP6734711061,IN,ATM,IN,2026-06-13T13:56:21Z
TXN0000972,MT5000003466,CREDIT,121431.84,INR,Raghunath Auto Parts,CP8685994713,IN,RTGS,IN,2026-06-13T14:06:54Z
TXN0000584,MT5000002088,DEBIT,7781.29,INR,School Fees Trust,CP6525213275,IN,IMPS,IN,2026-06-13T14:29:44Z
TXN0002702,MT5000008510,DEBIT,13278.83,INR,City Power Board,CP4321178386,IN,CARD,IN,2026-06-13T14:37:09Z
TXN0002127,MT5000007033,DEBIT,586.96,INR,City Power Board,CP4236149857,IN,IMPS,IN,2026-06-13T14:37:56Z
TXN0007468,MT5000024251,CREDIT,43708.84,INR,City Power Board,CP8493206384,GB,CARD,GB,2026-06-13T14:39:15Z
TXN0001468,MT5000005194,DEBIT,17996.64,INR,Apollo Pharmacy Store,CP9881219586,IN,IMPS,IN,2026-06-13T14:40:02Z
TXN0000175,MT5000000618,CREDIT,4432.12,INR,BookWorld,CP7094992705,IN,ATM,IN,2026-06-13T14:49:10Z
TXN0005734,MT5000018747,DEBIT,454.98,USD,Hospital Billing,CP7845003222,IN,UPI,IN,2026-06-13T14:50:30Z
TXN0009884,MT5000032462,DEBIT,37241.61,INR,City Power Board,CP7269300574,IN,IMPS,IN,2026-06-13T14:53:40Z
TXN0005983,MT5000019526,CREDIT,22963.45,INR,BookWorld,CP9045282135,AE,UPI,AE,2026-06-13T14:55:10Z
TXN0003297,MT5000010618,DEBIT,38517.10,INR,Insure Life Co,CP6433125941,IN,NEFT,IN,2026-06-13T14:59:01Z
TXN0001594,MT5000005543,DEBIT,8354.17,INR,Insure Life Co,CP9119564548,IN,ATM,IN,2026-06-13T15:05:00Z
TXN0006472,MT5000021077,DEBIT,25340.16,INR,School Fees Trust,CP7951968456,IN,NEFT,IN,2026-06-13T15:12:24Z
TXN0000621,MT5000002134,CREDIT,134920.70,INR,Vardhan Pharma Distributors,CP9804677062,IN,NEFT,IN,2026-06-13T15:13:14Z
TXN0001640,MT5000005654,DEBIT,259.06,USD,School Fees Trust,CP3639357192,IN,IMPS,IN,2026-06-14T02:31:45Z
TXN0006303,MT5000020674,DEBIT,113053.25,INR,Upadhyay Logistics,CP7937039588,IN,NEFT,IN,2026-06-14T02:32:27Z
TXN0002585,MT5000008332,DEBIT,32108.49,INR,Apollo Pharmacy Store,CP2460579054,IN,IMPS,IN,2026-06-14T02:45:57Z
TXN0012527,MT5000025281,DEBIT,250000.00,INR,Sneha Devraj,CP2149446571,IN,CASH,IN,2026-06-14T02:59:51Z
TXN0012136,MT5000040143,DEBIT,37038.21,INR,School Fees Trust,CP4631845537,IN,IMPS,IN,2026-06-14T03:07:37Z
TXN0005405,MT5000017621,DEBIT,25829.21,INR,City Power Board,CP2704526676,IN,IMPS,IN,2026-06-14T03:13:22Z
TXN0001585,MT5000005464,DEBIT,33282.64,INR,RentPay Housing,CP7285140889,IN,ATM,IN,2026-06-14T03:17:30Z
TXN0009605,MT5000031501,CREDIT,5347.64,INR,Cinema Plex,CP7468233278,IN,ATM,IN,2026-06-14T03:20:36Z
TXN0011786,MT5000039084,CREDIT,19872.49,INR,Hospital Billing,CP6574576796,IN,ATM,IN,2026-06-14T03:26:02Z
TXN0005042,MT5000016393,CREDIT,21513.69,INR,BookWorld,CP5012495153,IN,CARD,IN,2026-06-14T03:35:08Z
TXN0010167,MT5000033576,CREDIT,21471.44,INR,Zaveri Pharma Distributors,CP8925023674,GB,RTGS,GB,2026-06-14T03:35:52Z
TXN0006631,MT5000021539,DEBIT,41475.85,INR,Metro Rail Card,CP5276120766,IN,IMPS,IN,2026-06-14T04:00:38Z
TXN0008126,MT5000026800,DEBIT,34315.58,INR,Apollo Pharmacy Store,CP5454951478,GB,IMPS,GB,2026-06-14T04:04:23Z
TXN0002239,MT5000007244,DEBIT,40341.64,INR,Easwar Logistics,CP7761280477,IN,RTGS,IN,2026-06-14T04:14:38Z
TXN0011615,MT5000038422,DEBIT,2066.92,INR,Hospital Billing,CP4004307338,IN,NEFT,IN,2026-06-14T04:17:57Z
TXN0004316,MT5000013883,DEBIT,8723.37,INR,Cinema Plex,CP3411786319,US,ATM,US,2026-06-14T04:21:27Z
TXN0002170,MT5000007185,CREDIT,20541.11,INR,Cinema Plex,CP9638060407,GB,ATM,GB,2026-06-14T04:37:30Z
TXN0002782,MT5000008833,DEBIT,19721.06,INR,Apollo Pharmacy Store,CP8289212520,IN,CARD,IN,2026-06-14T04:39:34Z
TXN0005749,MT5000018783,DEBIT,9652.99,INR,PhoneNet Telecom,CP5494019653,IN,UPI,IN,2026-06-14T04:40:06Z
TXN0008707,MT5000028419,CREDIT,1184.58,USD,Yeshwant Exports,CP2934894843,IN,CHEQUE,IN,2026-06-14T04:55:37Z
TXN0003305,MT5000010618,DEBIT,39840.08,INR,City Power Board,CP4713214201,IN,NEFT,IN,2026-06-14T05:08:55Z
TXN0006978,MT5000022812,CREDIT,25782.77,INR,Cloud Kitchen Co,CP4610207898,IN,ATM,IN,2026-06-14T05:32:36Z
TXN0007354,MT5000023954,DEBIT,5546.53,INR,Grocery Mart,CP6891943014,SG,ATM,SG,2026-06-14T05:33:34Z
TXN0005355,MT5000017385,DEBIT,37063.46,INR,Cinema Plex,CP2908819491,IN,NEFT,IN,2026-06-14T05:35:02Z
TXN0001313,MT5000004578,CREDIT,7343.44,INR,Grocery Mart,CP2257373556,IN,CARD,IN,2026-06-14T05:42:19Z
TXN0005579,MT5000018251,CREDIT,6882.97,INR,Cinema Plex,CP4880791466,IN,NEFT,IN,2026-06-14T05:44:30Z
TXN0006657,MT5000021627,DEBIT,81641.74,INR,Sethuram Exports,CP6666524875,IN,IMPS,IN,2026-06-14T05:45:01Z
TXN0011801,MT5000039101,CREDIT,10204.91,INR,City Power Board,CP1431938287,IN,CARD,IN,2026-06-14T06:01:39Z
TXN0005881,MT5000019165,DEBIT,80133.69,INR,Fernhill Jewellers,CP9714838663,IN,RTGS,IN,2026-06-14T06:28:01Z
TXN0007519,MT5000024511,DEBIT,11319.55,INR,FuelPoint,CP1388692466,IN,NEFT,IN,2026-06-14T06:35:17Z
TXN0005350,MT5000017385,DEBIT,16172.50,INR,City Power Board,CP5866451335,IN,IMPS,IN,2026-06-14T06:38:59Z
TXN0007444,MT5000024212,DEBIT,13855.34,INR,School Fees Trust,CP4543035846,IN,UPI,IN,2026-06-14T06:40:09Z
TXN0005587,MT5000018315,DEBIT,30038.80,INR,Apollo Pharmacy Store,CP2373031053,IN,NEFT,IN,2026-06-14T06:46:24Z
TXN0010423,MT5000034741,DEBIT,43370.93,INR,City Power Board,CP6580229985,US,IMPS,US,2026-06-14T07:19:09Z
TXN0002591,MT5000008332,DEBIT,14119.81,INR,Insure Life Co,CP1687699169,IN,IMPS,IN,2026-06-14T07:21:30Z
TXN0001723,MT5000005943,DEBIT,137081.98,INR,Yeshwant Agro Foods,CP6458618273,IN,IMPS,IN,2026-06-14T07:24:28Z
TXN0007467,MT5000024251,DEBIT,36716.72,INR,School Fees Trust,CP4315743127,IN,ATM,IN,2026-06-14T07:25:16Z
TXN0011855,MT5000039297,DEBIT,33058.19,INR,Water Board,CP9960557937,IN,IMPS,IN,2026-06-14T07:28:20Z
TXN0009011,MT5000029667,CREDIT,178228.26,INR,Narang Logistics,CP8210930074,IN,CHEQUE,IN,2026-06-14T07:30:35Z
TXN0000181,MT5000000618,CREDIT,26084.59,INR,BookWorld,CP4726992894,IN,UPI,IN,2026-06-14T07:31:19Z
TXN0007511,MT5000024478,DEBIT,27370.46,INR,Hospital Billing,CP1758621486,IN,NEFT,IN,2026-06-14T07:35:19Z
TXN0006221,MT5000020395,CREDIT,85626.12,INR,Bhandari Agro Foods,CP8436788945,IN,CHEQUE,IN,2026-06-14T07:37:08Z
TXN0006691,MT5000021733,DEBIT,597.35,INR,Grocery Mart,CP4529430519,IN,ATM,IN,2026-06-14T07:51:21Z
TXN0001028,MT5000003577,DEBIT,16348.02,INR,Swiggle Foods,CP5411112448,IN,IMPS,IN,2026-06-14T07:54:19Z
TXN0009014,MT5000029667,CREDIT,171105.74,INR,Wadekar Jewellers,CP3173348538,IN,IMPS,IN,2026-06-14T07:56:32Z
TXN0008682,MT5000028374,DEBIT,120031.21,INR,Rathore Auto Parts,CP9541747466,IN,IMPS,IN,2026-06-14T08:13:09Z
TXN0008089,MT5000026673,DEBIT,12491.74,INR,FuelPoint,CP6542040768,IN,IMPS,IN,2026-06-14T08:23:35Z
TXN0007412,MT5000024080,CREDIT,13927.35,INR,School Fees Trust,CP3336513265,US,UPI,US,2026-06-14T08:24:47Z
TXN0009710,MT5000031979,DEBIT,40607.71,INR,Water Board,CP7623824211,IN,ATM,IN,2026-06-14T08:43:03Z
TXN0004673,MT5000015014,DEBIT,40760.80,INR,FuelPoint,CP3247020013,IN,IMPS,IN,2026-06-14T09:08:48Z
TXN0004290,MT5000013825,DEBIT,9744.52,INR,Cinema Plex,CP7807706649,IN,NEFT,IN,2026-06-14T09:09:40Z
TXN0006895,MT5000022592,CREDIT,41488.43,INR,Water Board,CP1353434306,IN,NEFT,IN,2026-06-14T09:26:04Z
TXN0004258,MT5000013620,DEBIT,1104.82,INR,School Fees Trust,CP4638930525,IN,CARD,IN,2026-06-14T09:32:11Z
TXN0010903,MT5000036064,DEBIT,8070.46,INR,Water Board,CP8590927919,IN,UPI,IN,2026-06-14T09:34:02Z
TXN0009759,MT5000032087,CREDIT,54398.36,INR,Jadhavan Infotech,CP7820263508,IN,IMPS,IN,2026-06-14T09:42:53Z
TXN0002305,MT5000007410,DEBIT,17657.19,INR,City Power Board,CP9724108440,GB,UPI,GB,2026-06-14T09:52:39Z
TXN0000234,MT5000000769,DEBIT,26854.00,INR,Insure Life Co,CP3925562184,IN,NEFT,IN,2026-06-14T10:03:27Z
TXN0009152,MT5000030025,DEBIT,32174.24,INR,Raghunath Exports,CP8278386581,IN,NEFT,IN,2026-06-14T10:06:59Z
TXN0010976,MT5000036242,DEBIT,19466.93,INR,Cloud Kitchen Co,CP7783104207,IN,CARD,IN,2026-06-14T10:10:37Z
TXN0005506,MT5000017935,DEBIT,5553.53,INR,School Fees Trust,CP4182329951,SG,CARD,SG,2026-06-14T10:15:25Z
TXN0005858,MT5000019097,DEBIT,63115.66,INR,Wadekar Textiles,CP3982221222,IN,NEFT,IN,2026-06-14T10:17:14Z
TXN0008513,MT5000027951,DEBIT,42356.39,INR,FuelPoint,CP1338444340,IN,CARD,IN,2026-06-14T10:23:54Z
TXN0008849,MT5000029086,DEBIT,28131.34,INR,City Power Board,CP6750389832,IN,IMPS,IN,2026-06-14T10:29:54Z
TXN0001727,MT5000005943,DEBIT,25926.30,INR,Narang Infotech,CP9929467742,IN,NEFT,IN,2026-06-14T10:30:22Z
TXN0007793,MT5000025518,CREDIT,23203.52,INR,Hospital Billing,CP1562932606,IN,IMPS,IN,2026-06-14T10:43:38Z
TXN0010646,MT5000035328,DEBIT,123492.22,INR,Sundaram Textiles,CP7180782239,IN,IMPS,IN,2026-06-14T11:21:27Z
TXN0005912,MT5000019301,CREDIT,26692.93,INR,Swiggle Foods,CP8350103447,IN,ATM,IN,2026-06-14T11:23:05Z
